target,trait,outer_fold,is_texture,internal_validation_gate,recorded_production_gate,legacy_fixed_gate,recorded_gate_overrode_internal,legacy_gate_differs_from_internal,crossfit_anchor_folds,domain_aware_anchor_selection,gate_selection_mode,validation_residual_target_mode,selected_epoch
post_break_work_g_rawpos_mean,PRW,3,True,0.75,0.75,0.25,False,True,4,True,training_internal_validation,observed,12
post_break_work_g_rawpos_mean,PRW,4,True,0.5,0.5,0.25,False,True,4,True,training_internal_validation,observed,20
post_break_work_g_rawpos_mean,PRW,5,True,0.75,0.75,0.25,False,True,4,True,training_internal_validation,observed,36
skin_break_displacement_raw_mean,RD,1,True,1.0,1.0,0.5,False,True,4,True,training_internal_validation,observed,21
skin_break_displacement_raw_mean,RD,2,True,0.75,0.75,0.5,False,True,4,True,training_internal_validation,observed,27
skin_break_displacement_raw_mean,RD,3,True,1.0,1.0,0.5,False,True,4,True,training_internal_validation,observed,12
skin_break_displacement_raw_mean,RD,4,True,0.5,0.5,0.5,False,False,4,True,training_internal_validation,observed,22
skin_break_displacement_raw_mean,RD,5,True,0.5,0.5,0.5,False,False,4,True,training_internal_validation,observed,27
skin_break_force_g_mean,SRF,1,True,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,23
skin_break_force_g_mean,SRF,2,True,1.0,1.0,0.75,False,True,4,True,training_internal_validation,observed,14
skin_break_force_g_mean,SRF,3,True,1.0,1.0,0.75,False,True,4,True,training_internal_validation,observed,15
skin_break_force_g_mean,SRF,4,True,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,18
skin_break_force_g_mean,SRF,5,True,1.0,1.0,0.75,False,True,4,True,training_internal_validation,observed,20
fruit_weight_g,FW,1,False,0.25,0.25,0.25,False,False,4,True,training_internal_validation,observed,23
fruit_weight_g,FW,2,False,0.5,0.5,0.5,False,False,4,True,training_internal_validation,observed,19
fruit_weight_g,FW,3,False,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,32
fruit_weight_g,FW,4,False,0.25,0.25,0.25,False,False,4,True,training_internal_validation,observed,27
fruit_weight_g,FW,5,False,0.5,0.5,0.5,False,False,4,True,training_internal_validation,observed,33
ph,pH,1,False,0.25,0.25,0.25,False,False,4,True,training_internal_validation,observed,9
ph,pH,2,False,0.25,0.25,0.25,False,False,4,True,training_internal_validation,observed,16
ph,pH,3,False,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,21
ph,pH,4,False,0.5,0.5,0.5,False,False,4,True,training_internal_validation,observed,8
ph,pH,5,False,0.5,0.5,0.5,False,False,4,True,training_internal_validation,observed,17
soluble_solids_pct,SSC,1,False,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,20
soluble_solids_pct,SSC,2,False,0.75,0.75,0.75,False,False,4,True,training_internal_validation,observed,19
soluble_solids_pct,SSC,3,False,0.5,0.5,0.5,False,False,4,True,training_internal_validation,observed,21
soluble_solids_pct,SSC,4,False,0.25,0.25,0.25,False,False,4,True,training_internal_validation,observed,23
soluble_solids_pct,SSC,5,False,0.5,0.5,0.5,False,False,4,True,training_internal_validation,observed,19
